cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
21680720,6.0,43.0,45.0,4.0,26.0,8.0,4.0,-0.2375,95.3326,364.39622,0.0,35.0,0.0,159.88
13942129,12.0,47.0,48.0,1.0,26.0,5.0,3.0,5.5619,118.8612,581.18328,0.0,35.0,0.0,92.78
Caffeine,10.0,24.0,25.0,2.0,13.0,6.0,0.0,-1.0293,52.039,194.1906,0.0,13.0,0.0,61.82
6560161,6.0,44.0,46.0,3.0,26.0,8.0,3.0,-1.699,93.9023,365.40416,0.0,37.0,0.0,162.71
44658234,6.0,53.0,52.0,3.0,35.0,11.0,6.0,-1.8919,103.0457,419.45,0.0,43.0,0.0,190.4
39912,6.0,33.0,33.0,1.0,20.0,2.0,1.0,3.0732,62.1808,206.28082,0.0,26.0,0.0,37.3
14880971,6.0,30.0,30.0,1.0,18.0,2.0,1.0,2.8272,57.3738,192.25424,0.0,23.0,0.0,37.3
11321461,6.0,30.0,30.0,1.0,18.0,2.0,1.0,2.9981,57.3738,192.25424,0.0,23.0,0.0,37.3
20516638,6.0,31.0,31.0,2.0,18.0,2.0,1.0,3.2979,62.4988,204.26494,0.0,23.0,0.0,37.3
Thyroxine,12.0,35.0,36.0,1.0,16.0,5.0,3.0,5.2576,124.9082,776.87002,0.0,23.0,0.0,92.78
10241667,6.0,30.0,30.0,1.0,18.0,2.0,1.0,2.8192,57.3738,192.25424,0.0,23.0,0.0,37.3
19689229,10.0,33.0,34.0,3.0,19.0,7.0,0.0,0.0139,70.3165,270.224861,0.0,21.0,0.0,88.7
Amoxicillin,6.0,44.0,46.0,3.0,28.0,9.0,4.0,1.0528,94.5869,365.40416,0.0,37.0,0.0,158.26
Stearic_acid,0.0,56.0,55.0,1.0,38.0,2.0,1.0,6.3325,90.4118,284.47724,0.0,54.0,0.0,37.3
22812444,12.0,35.0,36.0,1.0,15.0,5.0,2.0,6.0662,137.3844,902.76655,0.0,23.0,0.0,81.78
22884210,12.0,35.0,36.0,1.0,16.0,5.0,3.0,5.2576,124.9082,782.894347834,0.0,23.0,0.0,92.78
16898,0.0,65.0,64.0,1.0,44.0,2.0,1.0,7.5028,104.8328,326.55698,0.0,63.0,0.0,37.3
20470263,6.0,49.0,51.0,5.0,31.0,12.0,5.0,0.9775,113.0517,453.48936,0.0,40.0,0.0,220.86
Ibuprofen,6.0,33.0,33.0,1.0,20.0,2.0,1.0,3.0732,62.1808,206.28082,0.0,26.0,0.0,37.3
Theobromine_lithium,10.0,22.0,22.0,2.0,11.0,5.0,1.0,-1.0397,47.1377,187.10502,0.0,10.0,0.0,72.68
16213444,0.0,50.0,49.0,1.0,34.0,2.0,1.0,5.5523,80.7978,260.394699352,0.0,48.0,0.0,37.3
450634,0.0,50.0,49.0,1.0,34.0,2.0,1.0,5.5523,80.7978,255.4248136,0.0,48.0,0.0,37.3
10467,0.0,62.0,61.0,1.0,42.0,2.0,1.0,7.1127,100.0258,312.5304,0.0,60.0,0.0,37.3
450636,0.0,50.0,49.0,1.0,34.0,2.0,1.0,5.5523,80.7978,255.4248136,0.0,48.0,0.0,37.3
Insulin,12.0,24.0,25.0,0.0,10.0,2.0,2.0,4.0716,65.944,255.09672,0.0,13.0,0.0,40.46
18492125,6.0,62.0,63.0,4.0,41.0,11.0,5.0,1.1117,123.6996,466.5511,0.0,53.0,0.0,187.36
45280315,10.0,24.0,25.0,2.0,13.0,6.0,0.0,-1.0293,52.039,198.215247112,0.0,13.0,0.0,61.82
45280314,10.0,24.0,25.0,2.0,13.0,6.0,0.0,-1.0293,52.039,198.215247112,0.0,13.0,0.0,61.82
11564032,6.0,41.0,42.0,1.0,22.0,5.0,3.0,4.0598,126.436,782.91766,0.0,35.0,0.0,92.78
23276520,12.0,41.0,42.0,1.0,22.0,5.0,3.0,3.8776,108.7442,553.13012,0.0,29.0,0.0,92.78
